Epoch 106: Loss: 0.92102, Validation Loss: 2.52831
Epoch 107: Loss: 0.92286, Validation Loss: 2.53260
Epoch 108: Loss: 0.92464, Validation Loss: 2.53678
Epoch 109: Loss: 0.92638, Validation Loss: 2.54083
Epoch 110: Loss: 0.92806, Validation Loss: 2.54477
Epoch 111: Loss: 0.92970, Validation Loss: 2.54860
Epoch 112: Loss: 0.93129, Validation Loss: 2.55233
Epoch 113: Loss: 0.93284, Validation Loss: 2.55595
Epoch 114: Loss: 0.93435, Validation Loss: 2.55947
Epoch 115: Loss: 0.93581, Validation Loss: 2.56289
Epoch 116: Loss: 0.93723, Validation Loss: 2.56623
Epoch 117: Loss: 0.93862, Validation Loss: 2.56947
Epoch 118: Loss: 0.93996, Validation Loss: 2.57262
Epoch 119: Loss: 0.94128, Validation Loss: 2.57569
Epoch 120: Loss: 0.94255, Validation Loss: 2.57868
Epoch 121: Loss: 0.94379, Validation Loss: 2.58159
Epoch 122: Loss: 0.94500, Validation Loss: 2.58442
Epoch 123: Loss: 0.94618, Validation Loss: 2.58717
Epoch 124: Loss: 0.94732, Validation Loss: 2.58986
Epoch 125: Loss: 0.94844, Validation Loss: 2.59247
Epoch 126: Loss: 0.94952, Validation Loss: 2.59502
Epoch 127: Loss: 0.95058, Validation Loss: 2.59750
Epoch 128: Loss: 0.95161, Validation Loss: 2.59992
Epoch 129: Loss: 0.95261, Validation Loss: 2.60228
Epoch 130: Loss: 0.95359, Validation Loss: 2.60458
Epoch 131: Loss: 0.95455, Validation Loss: 2.60682
Epoch 132: Loss: 0.95548, Validation Loss: 2.60900
Epoch 133: Loss: 0.95638, Validation Loss: 2.61113
Epoch 134: Loss: 0.95727, Validation Loss: 2.61320
Epoch 135: Loss: 0.95813, Validation Loss: 2.61523
Epoch 136: Loss: 0.95897, Validation Loss: 2.61720
Epoch 137: Loss: 0.95979, Validation Loss: 2.61913
Epoch 138: Loss: 0.96059, Validation Loss: 2.62101
Epoch 139: Loss: 0.96137, Validation Loss: 2.62284
Epoch 140: Loss: 0.96213, Validation Loss: 2.62463
Epoch 141: Loss: 0.96287, Validation Loss: 2.62638
Epoch 142: Loss: 0.96360, Validation Loss: 2.62808
Epoch 143: Loss: 0.96430, Validation Loss: 2.62975
Epoch 144: Loss: 0.96499, Validation Loss: 2.63137
Epoch 145: Loss: 0.96567, Validation Loss: 2.63296
Epoch 146: Loss: 0.96633, Validation Loss: 2.63451
Epoch 147: Loss: 0.96697, Validation Loss: 2.63602
Epoch 148: Loss: 0.96760, Validation Loss: 2.63750
Epoch 149: Loss: 0.96821, Validation Loss: 2.63894
Epoch 150: Loss: 0.96881, Validation Loss: 2.64036
Epoch 151: Loss: 0.96939, Validation Loss: 2.64173
Epoch 152: Loss: 0.96997, Validation Loss: 2.64308
