Epoch 103: Loss: 25.98038, Validation Loss: 90780.70502
Epoch 104: Loss: 25.57604, Validation Loss: 91857.17079
Epoch 105: Loss: 25.17897, Validation Loss: 92927.21775
Epoch 106: Loss: 24.78908, Validation Loss: 93990.78170
Epoch 107: Loss: 24.40624, Validation Loss: 95047.80346
Epoch 108: Loss: 24.03036, Validation Loss: 96098.22870
Epoch 109: Loss: 23.66133, Validation Loss: 97142.00774
Epoch 110: Loss: 23.29904, Validation Loss: 98179.09541
Epoch 111: Loss: 22.94338, Validation Loss: 99209.45082
Epoch 112: Loss: 22.59425, Validation Loss: 100233.03726
Epoch 113: Loss: 22.25153, Validation Loss: 101249.82198
Epoch 114: Loss: 21.91513, Validation Loss: 102259.77611
Epoch 115: Loss: 21.58494, Validation Loss: 103262.87441
Epoch 116: Loss: 21.26086, Validation Loss: 104259.09521
Epoch 117: Loss: 20.94277, Validation Loss: 105248.42023
Epoch 118: Loss: 20.63058, Validation Loss: 106230.83442
Epoch 119: Loss: 20.32418, Validation Loss: 107206.32589
Epoch 120: Loss: 20.02347, Validation Loss: 108174.88571
Epoch 121: Loss: 19.72836, Validation Loss: 109136.50784
Epoch 122: Loss: 19.43874, Validation Loss: 110091.18898
Epoch 123: Loss: 19.15452, Validation Loss: 111038.92844
Epoch 124: Loss: 18.87559, Validation Loss: 111979.72806
Epoch 125: Loss: 18.60187, Validation Loss: 112913.59210
Epoch 126: Loss: 18.33325, Validation Loss: 113840.52710
Epoch 127: Loss: 18.06965, Validation Loss: 114760.54178
Epoch 128: Loss: 17.81097, Validation Loss: 115673.64700
Epoch 129: Loss: 17.55713, Validation Loss: 116579.85559
Epoch 130: Loss: 17.30802, Validation Loss: 117479.18229
Epoch 131: Loss: 17.06357, Validation Loss: 118371.64367
Epoch 132: Loss: 16.82369, Validation Loss: 119257.25803
Epoch 133: Loss: 16.58829, Validation Loss: 120136.04530
Epoch 134: Loss: 16.35729, Validation Loss: 121008.02701
Epoch 135: Loss: 16.13060, Validation Loss: 121873.22617
Epoch 136: Loss: 15.90814, Validation Loss: 122731.66718
Epoch 137: Loss: 15.68983, Validation Loss: 123583.37583
Epoch 138: Loss: 15.47560, Validation Loss: 124428.37915
Epoch 139: Loss: 15.26537, Validation Loss: 125266.70539
Epoch 140: Loss: 15.05905, Validation Loss: 126098.38394
Epoch 141: Loss: 14.85658, Validation Loss: 126923.44527
Epoch 142: Loss: 14.65788, Validation Loss: 127741.92088
Epoch 143: Loss: 14.46288, Validation Loss: 128553.84322
Epoch 144: Loss: 14.27150, Validation Loss: 129359.24565
Epoch 145: Loss: 14.08368, Validation Loss: 130158.16240
Epoch 146: Loss: 13.89935, Validation Loss: 130950.62847
Epoch 147: Loss: 13.71844, Validation Loss: 131736.67966
Epoch 148: Loss: 13.54089, Validation Loss: 132516.35242
Epoch 149: Loss: 13.36662, Validation Loss: 133289.68390
Epoch 150: Loss: 13.19558, Validation Loss: 134056.71185
Epoch 151: Loss: 13.02770, Validation Loss: 134817.47459
Epoch 152: Loss: 12.86293, Validation Loss: 135572.01099
Epoch 153: Loss: 12.70120, Validation Loss: 136320.36040
Epoch 154: Loss: 12.54244, Validation Loss: 137062.56261
Epoch 155: Loss: 12.38662, Validation Loss: 137798.65787
Epoch 156: Loss: 12.23366, Validation Loss: 138528.68677
Epoch 157: Loss: 12.08351, Validation Loss: 139252.69029
Epoch 158: Loss: 11.93612, Validation Loss: 139970.70971
Epoch 159: Loss: 11.79143, Validation Loss: 140682.78661
Epoch 160: Loss: 11.64939, Validation Loss: 141388.96281
Epoch 161: Loss: 11.50996, Validation Loss: 142089.28038
Epoch 162: Loss: 11.37307, Validation Loss: 142783.78160
Epoch 163: Loss: 11.23867, Validation Loss: 143472.50892
Epoch 164: Loss: 11.10673, Validation Loss: 144155.50495
Epoch 165: Loss: 10.97719, Validation Loss: 144832.81241
Epoch 166: Loss: 10.85001, Validation Loss: 145504.47417
Epoch 167: Loss: 10.72513, Validation Loss: 146170.53316
Epoch 168: Loss: 10.60252, Validation Loss: 146831.03237
Epoch 169: Loss: 10.48213, Validation Loss: 147486.01485
Epoch 170: Loss: 10.36392, Validation Loss: 148135.52368
Epoch 171: Loss: 10.24784, Validation Loss: 148779.60195
Epoch 172: Loss: 10.13385, Validation Loss: 149418.29273
Epoch 173: Loss: 10.02192, Validation Loss: 150051.63908
Epoch 174: Loss: 9.91200, Validation Loss: 150679.68402
Epoch 175: Loss: 9.80406, Validation Loss: 151302.47049
Epoch 176: Loss: 9.69805, Validation Loss: 151920.04141
Epoch 177: Loss: 9.59394, Validation Loss: 152532.43957
Epoch 178: Loss: 9.49169, Validation Loss: 153139.70769
Epoch 179: Loss: 9.39127, Validation Loss: 153741.88838
Epoch 180: Loss: 9.29263, Validation Loss: 154339.02413
Epoch 181: Loss: 9.19576, Validation Loss: 154931.15729
Epoch 182: Loss: 9.10060, Validation Loss: 155518.33009
Epoch 183: Loss: 9.00714, Validation Loss: 156100.58459
Epoch 184: Loss: 8.91533, Validation Loss: 156677.96271
Epoch 185: Loss: 8.82514, Validation Loss: 157250.50617
Epoch 186: Loss: 8.73655, Validation Loss: 157818.25654
Epoch 187: Loss: 8.64952, Validation Loss: 158381.25520
Epoch 188: Loss: 8.56402, Validation Loss: 158939.54333
Epoch 189: Loss: 8.48003, Validation Loss: 159493.16190
Epoch 190: Loss: 8.39751, Validation Loss: 160042.15171
Epoch 191: Loss: 8.31644, Validation Loss: 160586.55330
Epoch 192: Loss: 8.23679, Validation Loss: 161126.40703
Epoch 193: Loss: 8.15853, Validation Loss: 161661.75301
Epoch 194: Loss: 8.08164, Validation Loss: 162192.63112
Epoch 195: Loss: 8.00608, Validation Loss: 162719.08103
Epoch 196: Loss: 7.93184, Validation Loss: 163241.14214
Epoch 197: Loss: 7.85889, Validation Loss: 163758.85362
Epoch 198: Loss: 7.78720, Validation Loss: 164272.25441
Epoch 199: Loss: 7.71675, Validation Loss: 164781.38315
Epoch 200: Loss: 7.64752, Validation Loss: 165286.27828
Epoch 201: Loss: 7.57949, Validation Loss: 165786.97795
Epoch 202: Loss: 7.51263, Validation Loss: 166283.52005
Epoch 203: Loss: 7.44692, Validation Loss: 166775.94221
Epoch 204: Loss: 7.38233, Validation Loss: 167264.28181
Epoch 205: Loss: 7.31885, Validation Loss: 167748.57593
Epoch 206: Loss: 7.25646, Validation Loss: 168228.86141
Epoch 207: Loss: 7.19514, Validation Loss: 168705.17480
Epoch 208: Loss: 7.13486, Validation Loss: 169177.55238
Epoch 209: Loss: 7.07561, Validation Loss: 169646.03016
Epoch 210: Loss: 7.01737, Validation Loss: 170110.64387
Epoch 211: Loss: 6.96011, Validation Loss: 170571.42895
Epoch 212: Loss: 6.90383, Validation Loss: 171028.42058
Epoch 213: Loss: 6.84849, Validation Loss: 171481.65366
Epoch 214: Loss: 6.79410, Validation Loss: 171931.16279
Epoch 215: Loss: 6.74062, Validation Loss: 172376.98232
Epoch 216: Loss: 6.68804, Validation Loss: 172819.14629
Epoch 217: Loss: 6.63634, Validation Loss: 173257.68848
Epoch 218: Loss: 6.58552, Validation Loss: 173692.64238
Epoch 219: Loss: 6.53554, Validation Loss: 174124.04119
Epoch 220: Loss: 6.48640, Validation Loss: 174551.91786
Epoch 221: Loss: 6.43808, Validation Loss: 174976.30502
Epoch 222: Loss: 6.39057, Validation Loss: 175397.23505
Epoch 223: Loss: 6.34385, Validation Loss: 175814.74004
Epoch 224: Loss: 6.29791, Validation Loss: 176228.85179
Epoch 225: Loss: 6.25272, Validation Loss: 176639.60184
Epoch 226: Loss: 6.20829, Validation Loss: 177047.02145
Epoch 227: Loss: 6.16459, Validation Loss: 177451.14158
Epoch 228: Loss: 6.12162, Validation Loss: 177851.99296
Epoch 229: Loss: 6.07935, Validation Loss: 178249.60599
Epoch 230: Loss: 6.03778, Validation Loss: 178644.01083
Epoch 231: Loss: 5.99689, Validation Loss: 179035.23737
Epoch 232: Loss: 5.95667, Validation Loss: 179423.31520
Epoch 233: Loss: 5.91712, Validation Loss: 179808.27368
Epoch 234: Loss: 5.87821, Validation Loss: 180190.14186
Epoch 235: Loss: 5.83993, Validation Loss: 180568.94854
Epoch 236: Loss: 5.80228, Validation Loss: 180944.72227
Epoch 237: Loss: 5.76524, Validation Loss: 181317.49131
Epoch 238: Loss: 5.72881, Validation Loss: 181687.28366
Epoch 239: Loss: 5.69296, Validation Loss: 182054.12706
Epoch 240: Loss: 5.65770, Validation Loss: 182418.04900
Epoch 241: Loss: 5.62301, Validation Loss: 182779.07670
Epoch 242: Loss: 5.58887, Validation Loss: 183137.23713
Epoch 243: Loss: 5.55529, Validation Loss: 183492.55699
Epoch 244: Loss: 5.52225, Validation Loss: 183845.06274
Epoch 245: Loss: 5.48974, Validation Loss: 184194.78059
Epoch 246: Loss: 5.45776, Validation Loss: 184541.73647
Epoch 247: Loss: 5.42628, Validation Loss: 184885.95610
Epoch 248: Loss: 5.39531, Validation Loss: 185227.46493
Epoch 249: Loss: 5.36484, Validation Loss: 185566.28816
Epoch 250: Loss: 5.33485, Validation Loss: 185902.45077
Epoch 251: Loss: 5.30534, Validation Loss: 186235.97748
Epoch 252: Loss: 5.27630, Validation Loss: 186566.89276
Epoch 253: Loss: 5.24772, Validation Loss: 186895.22087
Epoch 254: Loss: 5.21959, Validation Loss: 187220.98581
Epoch 255: Loss: 5.19191, Validation Loss: 187544.21136
Epoch 256: Loss: 5.16467, Validation Loss: 187864.92105
Epoch 257: Loss: 5.13785, Validation Loss: 188183.13819
Epoch 258: Loss: 5.11146, Validation Loss: 188498.88587
Epoch 259: Loss: 5.08549, Validation Loss: 188812.18694
Epoch 260: Loss: 5.05992, Validation Loss: 189123.06403
Epoch 261: Loss: 5.03476, Validation Loss: 189431.53953
Epoch 262: Loss: 5.00999, Validation Loss: 189737.63564
Epoch 263: Loss: 4.98561, Validation Loss: 190041.37431
Epoch 264: Loss: 4.96160, Validation Loss: 190342.77730
Epoch 265: Loss: 4.93798, Validation Loss: 190641.86613
Epoch 266: Loss: 4.91472, Validation Loss: 190938.66211
Epoch 267: Loss: 4.89182, Validation Loss: 191233.18635
Epoch 268: Loss: 4.86928, Validation Loss: 191525.45975
Epoch 269: Loss: 4.84709, Validation Loss: 191815.50299
Epoch 270: Loss: 4.82525, Validation Loss: 192103.33654
Epoch 271: Loss: 4.80374, Validation Loss: 192388.98068
Epoch 272: Loss: 4.78256, Validation Loss: 192672.45549
Epoch 273: Loss: 4.76171, Validation Loss: 192953.78083
Epoch 274: Loss: 4.74118, Validation Loss: 193232.97637
Epoch 275: Loss: 4.72097, Validation Loss: 193510.06160
Epoch 276: Loss: 4.70107, Validation Loss: 193785.05578
Epoch 277: Loss: 4.68147, Validation Loss: 194057.97801
Epoch 278: Loss: 4.66218, Validation Loss: 194328.84718
Epoch 279: Loss: 4.64318, Validation Loss: 194597.68200
Epoch 280: Loss: 4.62447, Validation Loss: 194864.50097
Epoch 281: Loss: 4.60605, Validation Loss: 195129.32244
Epoch 282: Loss: 4.58790, Validation Loss: 195392.16456
Epoch 283: Loss: 4.57004, Validation Loss: 195653.04527
Epoch 284: Loss: 4.55244, Validation Loss: 195911.98237
Epoch 285: Loss: 4.53511, Validation Loss: 196168.99347
Epoch 286: Loss: 4.51805, Validation Loss: 196424.09598
Epoch 287: Loss: 4.50124, Validation Loss: 196677.30717
Epoch 288: Loss: 4.48469, Validation Loss: 196928.64411
Epoch 289: Loss: 4.46839, Validation Loss: 197178.12370
Epoch 290: Loss: 4.45233, Validation Loss: 197425.76269
Epoch 291: Loss: 4.43652, Validation Loss: 197671.57764
Epoch 292: Loss: 4.42094, Validation Loss: 197915.58495
Epoch 293: Loss: 4.40560, Validation Loss: 198157.80085
Epoch 294: Loss: 4.39049, Validation Loss: 198398.24143
Epoch 295: Loss: 4.37560, Validation Loss: 198636.92258
Epoch 296: Loss: 4.36094, Validation Loss: 198873.86007
Epoch 297: Loss: 4.34650, Validation Loss: 199109.06947
Epoch 298: Loss: 4.33227, Validation Loss: 199342.56623
Epoch 299: Loss: 4.31826, Validation Loss: 199574.36563
Epoch 300: Loss: 4.30445, Validation Loss: 199804.48278
Epoch 301: Loss: 4.29085, Validation Loss: 200032.93267
Epoch 302: Loss: 4.27745, Validation Loss: 200259.73012
Epoch 303: Loss: 4.26425, Validation Loss: 200484.88979
Epoch 304: Loss: 4.25125, Validation Loss: 200708.42622
Epoch 305: Loss: 4.23844, Validation Loss: 200930.35379
Epoch 306: Loss: 4.22582, Validation Loss: 201150.68673
Epoch 307: Loss: 4.21338, Validation Loss: 201369.43913
Epoch 308: Loss: 4.20113, Validation Loss: 201586.62495
Epoch 309: Loss: 4.18906, Validation Loss: 201802.25799
Epoch 310: Loss: 4.17717, Validation Loss: 202016.35193
