Epoch 78: Loss: 750056412402072830.00000, Validation Loss: 6357756270629937200.00000
Epoch 79: Loss: 740471204601124990.00000, Validation Loss: 6332595030867789800.00000
Epoch 80: Loss: 731060039421377660.00000, Validation Loss: 6307795199736511500.00000
Epoch 81: Loss: 721818824654838660.00000, Validation Loss: 6283349408118105100.00000
Epoch 82: Loss: 712743586220891390.00000, Validation Loss: 6259250480388650000.00000
Epoch 83: Loss: 703830464122572930.00000, Validation Loss: 6235491428218038300.00000
Epoch 84: Loss: 695075708563049860.00000, Validation Loss: 6212065444604049400.00000
Epoch 85: Loss: 686475676215089020.00000, Validation Loss: 6188965898130561000.00000
Epoch 86: Loss: 678026826636660220.00000, Validation Loss: 6166186327440160800.00000
Epoch 87: Loss: 669725718826179200.00000, Validation Loss: 6143720435912018900.00000
Epoch 88: Loss: 661569007911195010.00000, Validation Loss: 6121562086536121300.00000
Epoch 89: Loss: 653553441964659580.00000, Validation Loss: 6099705296975647700.00000
Epoch 90: Loss: 645675858943187710.00000, Validation Loss: 6078144234809452500.00000
Epoch 91: Loss: 637933183741998980.00000, Validation Loss: 6056873212947121200.00000
Epoch 92: Loss: 630322425361487740.00000, Validation Loss: 6035886685209389100.00000
Epoch 93: Loss: 622840674180618620.00000, Validation Loss: 6015179242067040300.00000
Epoch 94: Loss: 615485099332565250.00000, Validation Loss: 5994745606531767300.00000
Epoch 95: Loss: 608252946178245500.00000, Validation Loss: 5974580630192739300.00000
Epoch 96: Loss: 601141533873597570.00000, Validation Loss: 5954679289392901100.00000
Epoch 97: Loss: 594148253026652290.00000, Validation Loss: 5935036681539398700.00000
Epoch 98: Loss: 587270563440631940.00000, Validation Loss: 5915648021542647800.00000
Epoch 99: Loss: 580505991939492610.00000, Validation Loss: 5896508638378914800.00000
Epoch 100: Loss: 573852130272487550.00000, Validation Loss: 5877613971771459600.00000
Epoch 101: Loss: 567306633094489730.00000, Validation Loss: 5858959568985568300.00000
Epoch 102: Loss: 560867216018965570.00000, Validation Loss: 5840541081732931600.00000
Epoch 103: Loss: 554531653740630080.00000, Validation Loss: 5822354263181080600.00000
Epoch 104: Loss: 548297778224952640.00000, Validation Loss: 5804394965063821300.00000
Epoch 105: Loss: 542163476961810180.00000, Validation Loss: 5786659134888690700.00000
Epoch 106: Loss: 536126691280709060.00000, Validation Loss: 5769142813237685200.00000
Epoch 107: Loss: 530185414725107520.00000, Validation Loss: 5751842131157724200.00000
Epoch 108: Loss: 524337691483487740.00000, Validation Loss: 5734753307637366800.00000
Epoch 109: Loss: 518581614874928900.00000, Validation Loss: 5717872647166488600.00000
Epoch 110: Loss: 512915325887028860.00000, Validation Loss: 5701196537375856600.00000
Epoch 111: Loss: 507337011764124610.00000, Validation Loss: 5684721446753499100.00000
Epoch 112: Loss: 501844904643843650.00000, Validation Loss: 5668443922435053600.00000
Epoch 113: Loss: 496437280240109310.00000, Validation Loss: 5652360588065298400.00000
Epoch 114: Loss: 491112456570804480.00000, Validation Loss: 5636468141728271400.00000
Epoch 115: Loss: 485868792728374210.00000, Validation Loss: 5620763353943402500.00000
Epoch 116: Loss: 480704687691721920.00000, Validation Loss: 5605243065725236200.00000
Epoch 117: Loss: 475618579177825540.00000, Validation Loss: 5589904186704475100.00000
Epoch 118: Loss: 470608942531566460.00000, Validation Loss: 5574743693308041200.00000
Epoch 119: Loss: 465674289652329020.00000, Validation Loss: 5559758626996077600.00000
Epoch 120: Loss: 460813167955986690.00000, Validation Loss: 5544946092553799700.00000
Epoch 121: Loss: 456024159370952320.00000, Validation Loss: 5530303256436273200.00000
Epoch 122: Loss: 451305879367024000.00000, Validation Loss: 5515827345164187600.00000
